voc_id,title,content,user_role,user_id,equipment_id,alarm_code,category,priority,created_at,is_core,difficulty,expected_refusal,source_document_hint,expected_key_points
VOC-2026-0011,RF-M-001 Matching 불량 — 어떻게 조정?,THIN-PVD-01 CH-A에서 RF-M-001 알람. Auto-tune이 되긴 하는데 reflected가 7% 정도 잔존합니다. 어떻게 조정하나요?,EQ_ENG,U0001,THIN-PVD-01,RF-M-001,조치 방법 문의,HIGH,2026-05-13 11:00:00,Y,medium,N,alarm_code_guide.md#sec-AC-RF-M-001|troubleshooting_guide.md#sec-SOP-RF-002,RF-M-001: Auto-tune 후 reflected > 5% 잔존|Auto-tune 재실행|부하 변동 트리거(recipe 변경/chamber vent) 확인|Tune cap 위치 끝단 도달 여부 확인|Matcher reset 후 재실행|수동 tune은 PROC_ENG 승인 — 24시간 내 PM 일정 반영 필수
VOC-2026-0012,IMP-HCI-01 VAC-C-001 — 진공 누설 대응,IMP-HCI-01에서 VAC-C-001 Critical 진공 누설 알람. base pressure 도달 실패. 조치 어떻게 하나요?,EQ_ENG,U0005,IMP-HCI-01,VAC-C-001,조치 방법 문의,URGENT,2026-05-12 17:20:00,Y,medium,N,alarm_code_guide.md#sec-AC-VAC-C-001|troubleshooting_guide.md#sec-SOP-VAC-001,VAC-C-001: leak rate > 1e-5 Torr·L/s 또는 base pressure 도달 실패|챔버 isolation|Rate of Rise 측정|누설 위치: viewport → door O-ring → feedthrough → gas line|He leak test|feedthrough 누설 시 PROC_ENG 승인 필수
VOC-2026-0013,COMM-H-001 — EAP 통신 단절 조치,PHOTO-SCN-02에서 COMM-H-001 알람. 호스트 통신이 1분 이상 단절됐습니다. EAP 재시작은 제가 할 수 있나요?,EQ_ENG,U0003,PHOTO-SCN-02,COMM-H-001,조치 방법 문의,HIGH,2026-05-11 14:00:00,Y,medium,N,alarm_code_guide.md#sec-AC-COMM-H-001|troubleshooting_guide.md#sec-SOP-COMM-001|operation_policy.md#sec-POL-PERM-001,COMM-H-001: EAP-호스트 link 60초 이상 단절|EAP 프로세스 상태 확인|네트워크 ping 테스트|EAP 재시작은 EQ_ENG 권한 가능|수동 운영 모드 전환은 PROC_ENG 권한|수동 운영 4시간 제한
VOC-2026-0014,REC-H-001 — Recipe 다운로드 계속 실패,ETCH-DRY-03에서 recipe 다운로드가 3번 연속 실패해서 REC-H-001 알람이 떴습니다. 어떻게 해결하나요?,EQ_ENG,U0023,ETCH-DRY-03,REC-H-001,조치 방법 문의,HIGH,2026-05-14 11:15:00,Y,medium,N,alarm_code_guide.md#sec-AC-REC-H-001|troubleshooting_guide.md#sec-SOP-REC-001,REC-H-001: MES → 설비 recipe 다운로드 3회 연속 실패|checksum 비교|권한 만료 확인|수동 다운로드 3회 재시도|PROC_ENG 재등록|최후: CIM팀
VOC-2026-0015,GAS-H-001 — 가스 라인 누설 의심,DIFF-FUR-02에서 GAS-H-001 알람. MFC 입출력 압력 차가 이상하다고 합니다. 어떻게 점검하나요?,EQ_ENG,U0004,DIFF-FUR-02,GAS-H-001,조치 방법 문의,HIGH,2026-05-13 19:00:00,Y,medium,N,alarm_code_guide.md#sec-AC-GAS-H-001|troubleshooting_guide.md#sec-SOP-GAS-002,GAS-H-001: 가스 라인 누설 의심|Toxic Gas 동시 발생 시 즉시 SOP-GAS-001로 전환|해당 가스 isolation|MFC 입출력 압력 비교|VCR fitting 점검|He leak test
VOC-2026-0016,DOSE-C-001 — Critical Dose 이상 발생,IMP-HCI-02에서 DOSE-C-001이 발생했습니다. wafer hold 처리는 자동으로 되는 건가요? 다음 단계는?,PROC_ENG,U0011,IMP-HCI-02,DOSE-C-001,조치 방법 문의,URGENT,2026-05-12 22:30:00,Y,medium,N,alarm_code_guide.md#sec-AC-DOSE-C-001|troubleshooting_guide.md#sec-SOP-DOSE-001,DOSE-C-001: 측정 dose가 recipe spec의 ±5% 초과|Critical은 자동 lot hold|Faraday cup contamination 확인|Beam profile 측정|Calibration 절차 (PROC_ENG 승인)|재측정 wafer 평가
VOC-2026-0017,ETCH 챔버 온도가 자꾸 올라갑니다,ETCH-DRY-02 CH-A에서 공정 중 챔버 온도가 setpoint보다 점점 높아지는 현상이 어제부터 반복되고 있습니다. 알람이 뜬 적도 있고 안 뜬 적도 있습니다. 어떤 점부터 확인해야 하나요?,EQ_ENG,U0002,ETCH-DRY-02,,조치 방법 문의,HIGH,2026-05-14 13:40:00,Y,hard,N,alarm_code_guide.md#sec-AC-TEMP-H-001|troubleshooting_guide.md#sec-SOP-TEMP-001,TEMP-H-001 가능성 시사 (setpoint +20°C)|SOP-TEMP-001 순서: 가스 → 냉각수 → 히터 → TC|산발적 발생은 점검 우선순위 1·2단계 권장
VOC-2026-0018,퍼니스 zone마다 온도가 다르게 표시됩니다,DIFF-FUR-01의 5개 zone 온도가 평소와 다르게 zone 간 차이가 점점 벌어지고 있습니다. 어떻게 확인해야 하나요?,EQ_ENG,U0004,DIFF-FUR-01,,조치 방법 문의,HIGH,2026-05-13 08:20:00,Y,hard,N,alarm_code_guide.md#sec-AC-TEMP-H-002|troubleshooting_guide.md#sec-SOP-TEMP-002,TEMP-H-002 가능성 (zone 간 > 8°C)|SOP-TEMP-002 순서|TC 교차 검증|히터 단선 / 보온재 손상 가능성
VOC-2026-0019,Trend Chart가 비어 있고 데이터가 안 보입니다,PHOTO-CTR-01의 Trend Chart를 열었는데 차트 영역이 전부 비어 있습니다. 어떻게 해결해야 하나요?,OP,U0015,PHOTO-CTR-01,,Trend Chart 조회 오류,NORMAL,2026-05-14 10:00:00,Y,hard,N,system_user_manual.md#sec-SM-TRD-002|faq.md#sec-FAQ-002,흔한 원인 3가지: 수집 누락 / DAQ 이슈 / 기간 과도|다른 SVID 확인|통신 단절 시기 확인 (COMM-W-001/002)|데이터 누락이면 VOC 등록
VOC-2026-0020,임계치 변경하려고 하는데 권한이 없다고 나옵니다,TEMP-H-001 알람의 임계치를 변경하려고 신청하고 싶은데 화면에서 권한 부족 메시지가 뜹니다. 저는 설비 엔지니어입니다.,EQ_ENG,U0002,,,권한 문제,NORMAL,2026-05-12 16:10:00,Y,hard,N,operation_policy.md#sec-POL-PERM-002|operation_policy.md#sec-POL-CHG-001|faq.md#sec-FAQ-006,"신청은 EQ_ENG 가능, 승인은 PROC_ENG|임계치 변경 신청 절차 (양식)|정량적 근거 필수|POL-CHG-001 절차"
VOC-2026-0021,야간에 Critical 알람 뜨면 어디로 연락해야 하나요,야간조 운영입니다. Critical 알람이 발생했을 때 누구에게 먼저 연락해야 하나요? 본인이 임시 운영 결정도 할 수 있나요?,OP,U0025,,,조치 방법 문의,NORMAL,2026-05-11 23:50:00,Y,hard,N,operation_policy.md#sec-POL-NIGHT-001|troubleshooting_guide.md#sec-SOP-ESC-002|faq.md#sec-FAQ-010,자동 호출 트리: EQ_ENG → 팀장 → 공정 PM → 벤더 Tier 2|Critical SLA 5분 이내 1차 응답|임시 운영 결정은 공정 PM 이상|EHS 알람은 EHS 핫라인 별도
VOC-2026-0022,VOC 등록한지 6시간 지났는데 담당자가 안 보입니다,어제 NORMAL 우선순위로 VOC를 등록했는데 6시간이 지나도록 담당자가 안 보이고 상태가 OPEN 그대로입니다. 정상인가요?,FIELD,U0019,,,VOC 처리 상태 문의,NORMAL,2026-05-14 09:00:00,Y,hard,N,operation_policy.md#sec-POL-SLA-001|faq.md#sec-FAQ-005,NORMAL 1차 응답 SLA: 4시간|6시간이면 SLA 초과 — 자동 escalation 알림 발송됨|카테고리에 따라 수동 배정 — 최대 영업일 1일|24시간 초과 시 본인이 팀장에게 통보
VOC-2026-0023,RF Matcher tune cap fine-tuning 추천값,ETCH-DRY-02 CH-B의 RF Matcher tune cap 위치 fine-tuning을 위한 추천값이나 일반적인 최적 범위를 알려주세요. 현재 reflected가 6% 정도 잔존합니다.,EQ_ENG,U0002,ETCH-DRY-02,,조치 방법 문의,NORMAL,2026-05-13 14:00:00,Y,edge,Y,operation_policy.md#sec-POL-SCOPE-001|operation_policy.md#sec-POL-ESC-002|troubleshooting_guide.md#sec-SOP-ESC-001,Tune cap 추천값은 KB Out-of-Scope (벤더 내부 파라미터)|명시적 거절 — '근거를 찾을 수 없습니다'|SOP-RF-002 일반 절차 안내 가능|벤더 escalation 경로 안내
VOC-2026-0024,HCI Implanter Beam Profile 최적화 파라미터,IMP-HCI-01의 beam scan profile을 최적화하려고 합니다. 일반적인 최적 beam current와 scan speed의 조합을 알려주세요.,PROC_ENG,U0011,IMP-HCI-01,,조치 방법 문의,NORMAL,2026-05-12 11:25:00,Y,edge,Y,operation_policy.md#sec-POL-SCOPE-001|operation_policy.md#sec-POL-ESC-002,Beam profile 최적화 파라미터는 Out-of-Scope (벤더+recipe 영역)|명시적 거절|벤더/공정팀 escalation 안내
VOC-2026-0025,TEMP-W-001 알람의 SOP가 어디 있나요,THIN-CVD-03에서 TEMP-W-001 Warning이 자주 뜨고 있습니다. 이 알람의 표준 조치 절차(SOP)를 알려주세요.,EQ_ENG,U0001,THIN-CVD-03,TEMP-W-001,조치 방법 문의,LOW,2026-05-11 17:30:00,Y,edge,Y,alarm_code_guide.md#sec-AC-TEMP-W-001|troubleshooting_guide.md#sec-SOP-TEMP-002,TEMP-W-001은 별도 SOP 미정의 (KB orphan)|Idle 자연 냉각으로 정상 동작 범위|반복 또는 다음 Lot 도달 지연 시 SOP-TEMP-002 참조 권장
VOC-2026-0026,MES에서 recipe를 어떻게 등록하나요,신규 recipe를 MES 시스템에 등록하려고 하는데 등록 절차가 어떻게 되나요? FDC 시스템에서 등록 가능한가요?,PROC_ENG,U0008,,,조치 방법 문의,NORMAL,2026-05-14 15:30:00,Y,edge,Y,operation_policy.md#sec-POL-SCOPE-001,MES 시스템 사용법은 Out-of-Scope|본 시스템은 FDC 전용|MES 매뉴얼 별도 참조 안내
VOC-2026-0027,TEMP-Z-999 알람이 떴습니다,오늘 오전 대시보드에 TEMP-Z-999라는 알람이 떴습니다. 무엇을 의미하는 알람인가요? 어떻게 조치해야 하나요?,OP,U0017,,TEMP-Z-999,알람 코드 의미 문의,NORMAL,2026-05-14 11:00:00,Y,trap,Y,operation_policy.md#sec-POL-SCOPE-001,TEMP-Z-999는 등록된 알람코드가 아님|Severity Z는 정의되지 않음 (정의: C/H/M/W/I)|명시적으로 '존재하지 않는다'를 명시|올바른 코드 재확인 요청
VOC-2026-0028,ETCH-DRY-99 PRES-C-001 발생,ETCH-DRY-99 설비에서 PRES-C-001 Critical 알람 발생했습니다. 빠른 조치 부탁드립니다.,OP,U0016,ETCH-DRY-99,PRES-C-001,조치 방법 문의,URGENT,2026-05-13 20:00:00,Y,trap,Y,operation_policy.md#sec-POL-SCOPE-001,"ETCH-DRY-99는 등록된 설비가 아님 (ETCH-DRY는 01/02/03만 존재)|설비 ID 재확인 요청|PRES-C-001 자체는 유효 코드 (SOP-PRES-001) — 단, 설비 미존재로 답변 불가"
VOC-2026-0029,알람이 자꾸 떠요,요즘 알람이 너무 자주 뜹니다. 왜 그런 건가요?,FIELD,U0020,,,알람 원인 문의,NORMAL,2026-05-14 14:00:00,Y,multi_turn,N,system_user_manual.md#sec-SM-VOC-001,"정보 부족 — 명확화 질문 필요|필요 정보: 설비 ID, 알람 코드, 발생 시점/빈도|답변보다 질문 우선|추가 확인 질문 슬롯 활용"
VOC-2026-0030,어제 등록한 VOC 상태 확인하고 싶어요,어제 등록한 VOC가 처리됐는지 확인하고 싶습니다. 어디서 볼 수 있나요?,OP,U0014,,,VOC 처리 상태 문의,LOW,2026-05-14 17:20:00,Y,multi_turn,N,system_user_manual.md#sec-SM-VOC-002|operation_policy.md#sec-POL-SLA-001,VOC ID 또는 본인 메뉴 안내|추가 확인: 정확한 VOC ID|상태 단계 의미 설명 (OPEN/IN_PROGRESS/RESOLVED/CLOSED)
VOC-2026-0031,챔버 가열 ramp가 평소보다 한참 늦습니다,"DIFF-RTP-01 담당 EQ 엔지니어입니다. 지난주까지는 idle에서 setpoint 도달까지 약 4분이면 충분했는데, 오늘은 같은 recipe로도 6분 가까이 걸리고 있습니다. 온도 ramp 그래프를 보면 초반 1/3 구간은 정상이고 후반에서 기울기가 눈에 띄게 완만해지며, 히터 출력은 최대치 근처에서 더 올라가지 못하는 것처럼 보입니다. TC 응답이 늦어진 것 같다는 의심도 있어 보조 TC와 메인 TC 값을 비교해 봤는데 차이가 평소보다 큽니다. 조치 방향과 추가로 확인할 항목이 있으면 알려주세요.",EQ_ENG,U0005,DIFF-RTP-01,,조치 방법 문의,NORMAL,2026-04-25 13:49:53,Y,hard,N,alarm_code_guide.md#sec-AC-TEMP-M-001|troubleshooting_guide.md#sec-SOP-TEMP-002,"TEMP-M-001 (가열 속도 이상, ramp ±15% 초과) 가능성|원인: 히터 출력 저하 / TC 응답 지연|SOP-TEMP-002 절차 안내"
VOC-2026-0032,터보펌프 쪽에서 평소와 다른 진동이 느껴집니다,"오늘 CMP-POL-01 정기 점검 중 발견했습니다. 정비 순회 중 CMP-POL-01 터보펌프 하우징에서 평소에 못 느끼던 미세 진동이 손끝에 전해집니다. 진동 RMS 추이를 보면 baseline 대비 1.5배 정도 올라와 있고, 별도 알람은 아직 안 뜨고 있지만 베어링 마모 초기 증상 같은 느낌입니다. 지금 단독 조치가 필요한 수준인지, 아니면 정기 PM 시까지 모니터링만 해도 되는지 판단을 부탁드립니다. 오늘 안에는 회신 부탁드립니다.",EQ_ENG,U0006,CMP-POL-01,,조치 방법 문의,HIGH,2026-05-04 18:10:16,Y,hard,N,alarm_code_guide.md#sec-AC-MECH-W-001,MECH-W-001 (진동 센서 경고) 가능성 — KB orphan|원인: 베어링 마모 초기|POL-SCOPE-001에 따라 KB 단독 조치 절차 없음 — Trend 모니터링 권장
VOC-2026-0033,Auto-tune이 끝나도 반사파가 6~7% 정도 잔존합니다,"공정팀 PROC_ENG입니다. THIN-CVD-01 관련해서 확인 요청드립니다. THIN-CVD-01에서 plasma ignition 후 Auto-tune이 완료된 시점에도 Reflected/Forward 비율이 6~7% 정도로 가라앉지 않고 있습니다. 어제까지는 동일 recipe에서 1~2% 이내였는데, 오늘 첫 vent 후 가동부터 이 양상이 시작됐고, tune cap 위치 추이를 보니 점점 끝단 쪽으로 이동 중인 것이 마음에 걸립니다. 수동 fine-tune으로 일시 회복은 되지만, 다음 lot에서 또 같은 증상이 재발할까 우려됩니다. 오늘 안에는 회신 부탁드립니다.",PROC_ENG,U0010,THIN-CVD-01,,조치 방법 문의,HIGH,2026-04-24 22:37:40,Y,hard,N,alarm_code_guide.md#sec-AC-RF-M-001|troubleshooting_guide.md#sec-SOP-RF-002,RF-M-001 (Auto-tune 후 reflected > 5% 잔존) 가능성|원인: 부하 변동 / tune cap 노후|SOP-RF-002 절차 안내
VOC-2026-0034,EFEM 로봇이 wafer를 자주 놓칩니다,"방금 MTL-MES-02에서 알람 통보를 받고 즉시 확인했습니다. MTL-MES-02에서 오전부터 EFEM 로봇이 FOUP 슬롯 #14, #15 wafer를 잡았다가 transfer 중간에 흔들리는 현상이 두 번 있었습니다. 한 번은 자동으로 retry가 성공했지만 한 번은 mapping 단계에서 wafer 인식 실패로 lot이 멈춰 있고, vacuum chuck 흡착 압력이 평소 대비 미세하게 떨어진 것으로 보입니다. wafer 회수 절차와, 같은 증상이 재발하지 않게 하기 위한 1차 점검 항목을 알려주세요. 조치 방향과 추가로 확인할 항목이 있으면 알려주세요.",EQ_ENG,U0003,MTL-MES-02,,조치 방법 문의,NORMAL,2026-04-21 02:52:38,Y,hard,N,alarm_code_guide.md#sec-AC-MECH-H-001|troubleshooting_guide.md#sec-SOP-MECH-001,MECH-H-001 (EFEM 로봇 wafer mapping/transfer 실패) 가능성|원인: wafer 위치 이상 / vacuum chuck 흡착 불량|SOP-MECH-001 절차 안내
VOC-2026-0035,슬릿밸브 open/close 동작이 평소보다 느립니다,"공정팀 PROC_ENG입니다. ETCH-DRY-03 관련해서 확인 요청드립니다. ETCH-DRY-03의 transfer chamber 슬릿밸브가 open/close 명령 후 정상 응답까지 0.7~0.8초 정도 걸리고 있습니다. spec은 ±0.5초인데 이미 spec을 살짝 넘어선 상태이고, 공압 라인 게이지 압력이 평소 대비 약간 낮은 것 같습니다. 센서 노후 가능성도 있을 것 같은데, 어떤 순서로 점검해야 하는지 안내 부탁드립니다. 관련 SOP가 있으면 알려주시면 감사하겠습니다.",PROC_ENG,U0009,ETCH-DRY-03,,조치 방법 문의,NORMAL,2026-04-28 10:59:45,Y,hard,N,alarm_code_guide.md#sec-AC-MECH-M-001|troubleshooting_guide.md#sec-SOP-MECH-002,MECH-M-001 (슬릿밸브 동작 이상) 가능성|원인: 공압 라인 압력 저하 / 센서 노후|SOP-MECH-002 절차 안내
VOC-2026-0036,base pressure가 목표 1e-6 Torr에 도달하지 못합니다,"오늘 ETCH-DRY-02 정기 점검 중 발견했습니다. ETCH-DRY-02 오늘 첫 가동에서 base pressure가 5e-6 Torr 부근에서 더 떨어지지 않고 머물러 있습니다. 어제 PM 후 첫 가동이라 chamber outgassing 영향일 가능성도 생각해 보고 있는데, 터보펌프 회전수는 정상으로 보입니다. 현재 상태로 lot 시작해도 되는지, 아니면 추가 baking이 필요한지 판단해 주세요. 오늘 안에는 회신 부탁드립니다.",EQ_ENG,U0024,ETCH-DRY-02,,조치 방법 문의,HIGH,2026-04-15 16:25:25,Y,hard,N,alarm_code_guide.md#sec-AC-VAC-H-001|troubleshooting_guide.md#sec-SOP-VAC-001,"VAC-H-001 (진공도 미달 High, base pressure > 5e-6 Torr) 가능성|원인: 펌프 성능 저하 / 챔버 outgassing|SOP-VAC-001 절차 안내"
VOC-2026-0037,vent 후 base pressure 회복까지 시간이 점점 길어집니다,"오늘 ETCH-DRY-02 정기 점검 중 발견했습니다. ETCH-DRY-02에서 vent → pump down → base pressure 도달까지의 시간이 baseline 대비 20% 정도 길어진 추세가 일주일째 이어지고 있습니다. 회복 시간 trend가 우상향으로 천천히 올라가고 있어 펌프 성능 저하 초기 징후가 아닐까 의심됩니다. 정기 PM은 한 달 뒤로 잡혀 있는데, 그때까지 모니터링만 해도 되는지 확인 부탁드립니다. 조치 방향과 추가로 확인할 항목이 있으면 알려주세요.",EQ_ENG,U0007,ETCH-DRY-02,,조치 방법 문의,NORMAL,2026-04-20 07:47:15,Y,hard,N,alarm_code_guide.md#sec-AC-VAC-W-001|troubleshooting_guide.md#sec-SOP-VAC-002,VAC-W-001 (진공 회복 지연) 가능성|원인: 펌프 성능 저하 초기|SOP-VAC-002 절차 안내 (모니터링 및 PM 일정 검토)
VOC-2026-0038,T3 timeout이 하루 5~6회 발생합니다 (자동 복구는 됨),"오늘 THIN-CVD-01 정기 점검 중 발견했습니다. THIN-CVD-01와 호스트 간 SECS 통신에서 T3 timeout이 하루 5~6회 발생하고 있습니다. 매번 자동 재시도로 복구는 되고 있어 큰 문제는 없지만, 이전 주까지는 하루 1회 정도였던 것이 갑자기 늘어난 것이 신경 쓰입니다. 네트워크 미세 지연 이상의 원인이 있는지, 별도 조치가 필요한지 확인 부탁드립니다. 조치 방향과 추가로 확인할 항목이 있으면 알려주세요.",EQ_ENG,U0004,THIN-CVD-01,,조치 방법 문의,NORMAL,2026-04-22 17:23:59,Y,hard,N,alarm_code_guide.md#sec-AC-COMM-W-001|troubleshooting_guide.md#sec-SOP-COMM-001,COMM-W-001 (호스트 통신 재시도 Warning) 가능성|원인: 네트워크 미세 지연|SOP-COMM-001 / FAQ-003 안내
VOC-2026-0039,Trend Chart에 짧은 공백 구간이 자주 보입니다,"오늘 THIN-PVD-01 정기 점검 중 발견했습니다. THIN-PVD-01의 Trend Chart를 보면 1~2초 정도의 짧은 데이터 결손 구간이 한 시간에 두세 번 정도 보입니다. 별도 알람은 뜨지 않고 있고 다른 SVID도 동시에 끊기는 것으로 보아 DAQ 모듈 jitter 같은데, 이게 정상 범주인지, 조치가 필요한 수준인지 판단해 주세요. FAQ-002와 FAQ-003 둘 중 어느 쪽에 가까운 사례인지도 알려주시면 좋겠습니다. 오늘 안에는 회신 부탁드립니다.",EQ_ENG,U0024,THIN-PVD-01,,조치 방법 문의,HIGH,2026-05-11 13:40:07,Y,hard,N,alarm_code_guide.md#sec-AC-COMM-W-002,COMM-W-002 (센서 통신 일시 단절 < 3초) 가능성 — FAQ로 위임|원인: DAQ 모듈 jitter|FAQ-002 / FAQ-003 안내
VOC-2026-0040,MFC setpoint 변경 후 도달 시간이 평소보다 깁니다,"ETCH-DRY-01 CH-A 가동 모니터링하다가 확인했습니다. ETCH-DRY-01의 H2 MFC가 setpoint 변경 명령 후 ±5% 도달까지 4~5초가 걸리는 것 같습니다. spec은 3초 이내라 spec 이탈 가능성이 있고, Trend로 보면 setpoint 신호와 실측 flow 사이의 lag가 일정하지 않습니다. MFC controller 노후일 수도 있고, 통신 지연 영향일 수도 있어 진단 순서를 안내해 주세요. 어떤 순서로 점검하면 좋을지 안내 부탁드립니다.",EQ_ENG,U0001,ETCH-DRY-01,,조치 방법 문의,NORMAL,2026-04-18 06:07:31,Y,hard,N,alarm_code_guide.md#sec-AC-FLOW-M-001|troubleshooting_guide.md#sec-SOP-FLOW-001,FLOW-M-001 (MFC 응답 이상) 가능성|원인: MFC controller 노후 / 통신 지연|SOP-FLOW-001 절차 안내
VOC-2026-0041,케미컬 탱크 잔량이 평소보다 빨리 줄어듭니다,"방금 PHOTO-CTR-02에서 알람 통보를 받고 즉시 확인했습니다. PHOTO-CTR-02의 HF 케미컬 탱크 잔량이 평소보다 빠르게 줄고 있어 이번 주에만 두 번이나 20% 미만 경고가 떴습니다. 사용량이 갑자기 늘었다는 공정팀 보고는 없는데 같은 recipe에서 소모량이 늘어난 것 같아 신경 쓰입니다. 정상 범주의 사용량 증가인지, 라인 leak 가능성도 함께 검토해야 하는지 안내 부탁드립니다. 어떤 순서로 점검하면 좋을지 안내 부탁드립니다.",EQ_ENG,U0024,PHOTO-CTR-02,,조치 방법 문의,NORMAL,2026-05-05 01:29:05,Y,hard,N,alarm_code_guide.md#sec-AC-CHEM-W-001|troubleshooting_guide.md#sec-SOP-CHEM-001,CHEM-W-001 (케미컬 보충 필요) 가능성|원인: 사용량 증가|SOP-CHEM-001 / FAQ-004 안내
