alarm_event_id,occurred_at,equipment_id,chamber,alarm_code,severity,duration_sec,status,recipe_id,lot_id
AE-20260218-0020,2026-02-18 01:54:39,DIFF-FUR-01,Z2,TEMP-W-001,W,62,CLEARED,R-FUR-20,LOT-20260218-094
AE-20260218-0021,2026-02-18 02:54:58,PHOTO-SCN-03,,COMM-W-001,W,109,CLEARED,,LOT-20260218-122
AE-20260218-0022,2026-02-18 07:59:59,CMP-POL-01,,REC-W-001,W,93,CLEARED,R-POL-27,
AE-20260218-0023,2026-02-18 09:50:03,PHOTO-CTR-02,,MECH-H-001,H,227,CLEARED,R-CTR-23,
AE-20260218-0024,2026-02-18 10:11:09,THIN-PVD-02,CH-B,VAC-M-001,M,241,CLEARED,R-PVD-20,
AE-20260218-0025,2026-02-18 13:06:05,CMP-POL-03,,REC-W-001,W,89,CLEARED,,LOT-20260218-158
AE-20260218-0026,2026-02-18 15:02:02,PHOTO-SCN-02,,REC-M-001,M,124,CLEARED,R-SCN-09,LOT-20260218-145
AE-20260218-0027,2026-02-18 19:47:05,CLN-WET-01,,COMM-H-001,H,584,CLEARED,R-CLN-06,
AE-20260218-0028,2026-02-18 20:02:22,DIFF-FUR-02,Z5,GAS-M-001,M,180,ACKNOWLEDGED,R-FUR-12,LOT-20260218-093
AE-20260219-0029,2026-02-19 01:53:24,PHOTO-SCN-02,,MECH-H-001,H,198,CLEARED,R-SCN-05,
AE-20260219-0030,2026-02-19 09:59:45,CLN-WET-01,,COMM-M-001,M,300,ACKNOWLEDGED,R-CLN-11,LOT-20260219-105
AE-20260219-0031,2026-02-19 11:03:19,THIN-PVD-01,CH-A,MECH-W-001,W,17,CLEARED,,LOT-20260219-034
AE-20260219-0032,2026-02-19 17:39:52,CLN-WET-02,,CHEM-W-001,W,25,CLEARED,R-CLN-09,LOT-20260219-148
AE-20260219-0033,2026-02-19 21:25:54,MTL-INS-01,,COMM-H-001,H,43,CLEARED,R-INS-17,LOT-20260219-007
AE-20260220-0034,2026-02-20 10:47:29,CLN-WET-01,,REC-W-001,W,104,CLEARED,R-CLN-13,LOT-20260220-121
AE-20260221-0035,2026-02-21 11:58:54,ETCH-DRY-03,CH-A,RF-W-001,W,84,CLEARED,R-DRY-21,LOT-20260221-035
AE-20260221-0036,2026-02-21 15:26:23,PHOTO-CTR-02,,COMM-H-001,H,362,CLEARED,R-CTR-04,
AE-20260221-0037,2026-02-21 22:51:14,THIN-PVD-02,CH-A,COMM-M-001,M,64,CLEARED,R-PVD-20,
AE-20260222-0038,2026-02-22 05:11:37,IMP-HCI-02,,VAC-H-001,H,443,CLEARED,,
AE-20260222-0039,2026-02-22 07:41:02,CMP-POL-02,,REC-H-001,H,517,CLEARED,R-POL-06,LOT-20260222-195
AE-20260222-0040,2026-02-22 10:33:19,ETCH-WET-01,,COMM-W-001,W,18,ACKNOWLEDGED,R-WET-15,
AE-20260222-0041,2026-02-22 12:46:02,PHOTO-SCN-01,,COMM-M-001,M,252,ACKNOWLEDGED,R-SCN-29,LOT-20260222-079
AE-20260222-0042,2026-02-22 20:37:39,DIFF-FUR-02,Z4,COMM-M-001,M,60,CLEARED,R-FUR-17,LOT-20260222-066
AE-20260222-0043,2026-02-22 20:52:18,ETCH-DRY-03,CH-B,REC-W-001,W,79,CLEARED,R-DRY-28,LOT-20260222-075
AE-20260223-0044,2026-02-23 03:23:16,PHOTO-SCN-02,,COMM-M-001,M,131,ACKNOWLEDGED,R-SCN-13,LOT-20260223-151
AE-20260223-0045,2026-02-23 09:52:08,DIFF-FUR-02,Z3,FLOW-W-001,W,112,CLEARED,R-FUR-11,LOT-20260223-044
AE-20260223-0046,2026-02-23 15:59:20,MTL-INS-01,,COMM-W-001,W,115,CLEARED,R-INS-04,
AE-20260223-0047,2026-02-23 23:34:48,CLN-WET-01,,COMM-M-001,M,257,CLEARED,R-CLN-11,LOT-20260223-113
AE-20260224-0048,2026-02-24 00:43:35,IMP-HCI-02,,COMM-W-002,W,47,CLEARED,,
AE-20260224-0049,2026-02-24 03:44:51,IMP-HCI-01,,COMM-M-001,M,171,CLEARED,,
AE-20260224-0050,2026-02-24 07:27:00,DIFF-FUR-01,Z5,TEMP-W-001,W,118,CLEARED,R-FUR-28,LOT-20260224-143
AE-20260224-0051,2026-02-24 17:27:03,THIN-CVD-02,CH-A,COMM-W-001,W,97,CLEARED,R-CVD-04,
AE-20260225-0052,2026-02-25 00:50:52,DIFF-FUR-02,Z4,TEMP-H-002,H,165,ACKNOWLEDGED,R-FUR-20,LOT-20260225-141
AE-20260225-0053,2026-02-25 07:21:18,CLN-WET-02,,COMM-M-001,M,236,CLEARED,R-CLN-25,LOT-20260225-039
AE-20260225-0054,2026-02-25 13:07:05,ETCH-DRY-01,CH-A,VAC-M-001,M,287,ACKNOWLEDGED,,
AE-20260225-0055,2026-02-25 17:45:37,PHOTO-SCN-02,,COMM-W-001,W,21,CLEARED,,
AE-20260225-0056,2026-02-25 17:48:31,IMP-HCI-02,,COMM-M-001,M,292,CLEARED,,LOT-20260225-092
AE-20260225-0057,2026-02-25 21:03:55,ETCH-DRY-03,CH-C,RF-W-001,W,51,CLEARED,R-DRY-26,
AE-20260226-0058,2026-02-26 00:11:11,ETCH-DRY-03,CH-B,MECH-W-001,W,114,CLEARED,R-DRY-23,LOT-20260226-136
AE-20260226-0059,2026-02-26 05:37:25,THIN-PVD-01,CH-A,MECH-H-001,H,615,CLEARED,R-PVD-13,LOT-20260226-083
AE-20260226-0060,2026-02-26 06:37:58,IMP-HCI-02,,HV-W-001,W,52,ACKNOWLEDGED,,
AE-20260226-0061,2026-02-26 10:35:32,MTL-MES-02,,COMM-H-001,H,543,CLEARED,,LOT-20260226-008
AE-20260226-0062,2026-02-26 17:01:26,ETCH-DRY-03,CH-C,VAC-H-001,H,169,CLEARED,R-DRY-20,LOT-20260226-144
AE-20260226-0063,2026-02-26 17:11:48,THIN-PVD-01,CH-A,REC-W-001,W,68,ACKNOWLEDGED,R-PVD-18,
AE-20260227-0064,2026-02-27 00:57:53,THIN-CVD-02,CH-B,GAS-W-001,W,80,CLEARED,,
AE-20260227-0065,2026-02-27 07:20:20,PHOTO-CTR-02,,COMM-M-001,M,97,CLEARED,R-CTR-29,
AE-20260227-0066,2026-02-27 08:27:10,MTL-MES-01,,COMM-H-001,H,710,CLEARED,,
AE-20260227-0067,2026-02-27 14:43:46,DIFF-FUR-03,Z3,COMM-M-001,M,263,ACKNOWLEDGED,R-FUR-07,LOT-20260227-081
AE-20260227-0068,2026-02-27 15:16:34,ETCH-DRY-03,CH-A,COMM-W-001,W,84,CLEARED,R-DRY-03,LOT-20260227-192
AE-20260227-0069,2026-02-27 19:24:04,PHOTO-SCN-02,,REC-M-001,M,250,CLEARED,R-SCN-23,
AE-20260228-0070,2026-02-28 05:40:12,PHOTO-SCN-01,,REC-W-001,W,68,CLEARED,,
AE-20260228-0071,2026-02-28 06:06:03,PHOTO-SCN-01,,COMM-W-001,W,13,CLEARED,,LOT-20260228-076
AE-20260228-0072,2026-02-28 13:11:28,PHOTO-SCN-03,,REC-M-001,M,153,CLEARED,R-SCN-04,LOT-20260228-021
AE-20260228-0073,2026-02-28 21:55:51,CMP-POL-02,,MECH-H-001,H,680,CLEARED,R-POL-22,LOT-20260228-063
AE-20260228-0074,2026-02-28 22:34:07,CLN-WET-01,,REC-W-001,W,22,CLEARED,R-CLN-11,
AE-20260301-0075,2026-03-01 00:59:54,DIFF-FUR-01,Z5,GAS-M-001,M,61,ACKNOWLEDGED,R-FUR-18,
AE-20260301-0076,2026-03-01 01:48:03,MTL-INS-01,,MECH-H-001,H,634,OPEN,,
AE-20260301-0077,2026-03-01 07:47:33,THIN-CVD-02,CH-A,REC-M-001,M,51,CLEARED,,LOT-20260301-166
AE-20260301-0078,2026-03-01 10:02:21,MTL-MES-01,,COMM-H-001,H,530,CLEARED,R-MES-28,
AE-20260301-0079,2026-03-01 14:57:59,THIN-CVD-02,CH-B,VAC-H-001,H,367,CLEARED,R-CVD-06,LOT-20260301-095
AE-20260301-0080,2026-03-01 19:08:27,ETCH-DRY-01,CH-B,REC-M-001,M,222,CLEARED,R-DRY-01,
AE-20260301-0081,2026-03-01 23:15:19,MTL-INS-01,,MECH-H-001,H,764,CLEARED,R-INS-20,LOT-20260301-033
AE-20260302-0082,2026-03-02 00:25:33,PHOTO-SCN-01,,REC-W-001,W,81,ACKNOWLEDGED,R-SCN-11,LOT-20260302-112
AE-20260302-0083,2026-03-02 00:34:15,MTL-INS-01,,COMM-W-001,W,90,CLEARED,R-INS-13,LOT-20260302-091
AE-20260302-0084,2026-03-02 01:50:18,DIFF-RTP-01,CH-A,REC-M-001,M,247,CLEARED,R-RTP-15,LOT-20260302-137
AE-20260302-0085,2026-03-02 14:41:52,ETCH-DRY-03,CH-C,TEMP-H-001,H,631,CLEARED,R-DRY-01,LOT-20260302-101
AE-20260302-0086,2026-03-02 17:20:26,PHOTO-SCN-02,,REC-W-001,W,109,CLEARED,R-SCN-25,LOT-20260302-112
AE-20260302-0087,2026-03-02 17:27:25,ETCH-DRY-03,CH-D,GAS-H-001,H,97,CLEARED,R-DRY-22,LOT-20260302-062
AE-20260303-0088,2026-03-03 06:39:29,IMP-MCI-01,,REC-W-001,W,88,CLEARED,R-MCI-26,LOT-20260303-162
AE-20260303-0089,2026-03-03 16:12:52,THIN-PVD-02,CH-B,PRES-M-001,M,159,CLEARED,R-PVD-03,
AE-20260304-0090,2026-03-04 13:09:18,THIN-CVD-02,CH-A,PRES-H-001,H,854,CLEARED,R-CVD-05,LOT-20260304-008
AE-20260304-0091,2026-03-04 13:49:27,CMP-POL-01,,COMM-W-001,W,16,CLEARED,,LOT-20260304-110
AE-20260304-0092,2026-03-04 14:36:06,MTL-INS-02,,COMM-W-001,W,66,CLEARED,R-INS-15,LOT-20260304-138
AE-20260304-0093,2026-03-04 15:23:04,ETCH-DRY-03,CH-A,RF-M-001,M,223,CLEARED,,
AE-20260305-0094,2026-03-05 00:05:22,ETCH-WET-01,,REC-W-001,W,114,ACKNOWLEDGED,,
AE-20260305-0095,2026-03-05 00:30:08,THIN-PVD-02,CH-B,COMM-W-001,W,32,CLEARED,,
AE-20260305-0096,2026-03-05 02:14:07,CMP-POL-01,,REC-M-001,M,236,CLEARED,,LOT-20260305-131
AE-20260305-0097,2026-03-05 07:44:00,MTL-INS-02,,COMM-H-001,H,146,CLEARED,R-INS-24,LOT-20260305-033
AE-20260305-0098,2026-03-05 07:45:39,DIFF-FUR-02,Z3,FLOW-H-001,H,353,CLEARED,R-FUR-15,LOT-20260305-036
AE-20260305-0099,2026-03-05 11:43:56,DIFF-FUR-02,Z3,COMM-W-002,W,31,CLEARED,,
AE-20260305-0100,2026-03-05 14:35:07,IMP-HCI-02,,REC-W-001,W,40,CLEARED,,LOT-20260305-047
AE-20260305-0101,2026-03-05 15:24:46,DIFF-FUR-03,Z1,REC-H-001,H,514,CLEARED,R-FUR-11,
AE-20260305-0102,2026-03-05 16:00:34,ETCH-DRY-01,CH-B,COMM-W-001,W,14,CLEARED,,
AE-20260305-0103,2026-03-05 16:45:37,DIFF-FUR-02,Z4,COMM-W-001,W,37,CLEARED,R-FUR-08,
AE-20260305-0104,2026-03-05 20:22:19,THIN-PVD-02,CH-A,PRES-H-001,H,878,CLEARED,R-PVD-15,
AE-20260305-0105,2026-03-05 21:04:52,DIFF-FUR-02,Z2,GAS-W-001,W,19,CLEARED,,LOT-20260305-040
AE-20260306-0106,2026-03-06 02:10:13,THIN-CVD-02,CH-B,MECH-W-001,W,116,CLEARED,R-CVD-15,
AE-20260306-0107,2026-03-06 06:57:55,THIN-PVD-02,CH-A,REC-M-001,M,256,CLEARED,,
AE-20260306-0108,2026-03-06 11:29:49,DIFF-RTP-01,CH-A,TEMP-M-001,M,169,CLEARED,R-RTP-30,LOT-20260306-145
AE-20260306-0109,2026-03-06 12:58:50,ETCH-WET-01,,CHEM-W-001,W,97,CLEARED,,LOT-20260306-079
AE-20260306-0110,2026-03-06 23:28:00,MTL-MES-01,,MECH-H-001,H,377,CLEARED,R-MES-22,
AE-20260307-0111,2026-03-07 04:20:53,ETCH-WET-01,,COMM-M-001,M,240,CLEARED,R-WET-23,
AE-20260307-0112,2026-03-07 10:08:43,THIN-CVD-02,CH-B,REC-M-001,M,232,ACKNOWLEDGED,R-CVD-11,
AE-20260307-0113,2026-03-07 11:26:16,MTL-MES-02,,COMM-W-001,W,83,ACKNOWLEDGED,R-MES-27,
AE-20260307-0114,2026-03-07 12:11:57,ETCH-DRY-02,CH-B,REC-M-001,M,261,CLEARED,,
AE-20260307-0115,2026-03-07 16:54:07,PHOTO-SCN-03,,REC-W-001,W,88,CLEARED,R-SCN-06,LOT-20260307-139
AE-20260307-0116,2026-03-07 22:10:34,DIFF-FUR-02,Z4,COMM-M-001,M,107,CLEARED,R-FUR-03,LOT-20260307-023
AE-20260308-0117,2026-03-08 04:37:29,PHOTO-SCN-01,,COMM-M-001,M,191,CLEARED,R-SCN-06,LOT-20260308-106
AE-20260308-0118,2026-03-08 07:01:56,IMP-HCI-02,,HV-H-001,H,404,CLEARED,,
AE-20260308-0119,2026-03-08 09:50:45,IMP-HCI-02,,COMM-W-002,W,5,CLEARED,,
AE-20260308-0120,2026-03-08 17:37:41,ETCH-DRY-03,CH-A,MECH-H-001,H,590,ACKNOWLEDGED,R-DRY-07,
AE-20260308-0121,2026-03-08 17:40:36,PHOTO-SCN-02,,REC-W-001,W,20,CLEARED,R-SCN-03,LOT-20260308-186
AE-20260308-0122,2026-03-08 17:54:45,PHOTO-SCN-03,,REC-M-001,M,191,ACKNOWLEDGED,,LOT-20260308-133
AE-20260308-0123,2026-03-08 20:26:02,ETCH-DRY-02,CH-B,RF-W-001,W,44,CLEARED,R-DRY-10,LOT-20260308-056
AE-20260308-0124,2026-03-08 22:49:05,THIN-CVD-02,CH-A,REC-H-001,H,303,CLEARED,,LOT-20260308-076
AE-20260309-0125,2026-03-09 05:43:12,MTL-INS-01,,COMM-M-001,M,86,CLEARED,R-INS-18,
AE-20260309-0126,2026-03-09 14:52:12,THIN-CVD-01,CH-B,PRES-M-001,M,190,CLEARED,,
AE-20260309-0127,2026-03-09 17:58:03,IMP-HCI-02,,COMM-W-001,W,23,OPEN,,LOT-20260309-184
AE-20260309-0128,2026-03-09 22:08:33,MTL-INS-01,,COMM-M-001,M,243,CLEARED,R-INS-20,LOT-20260309-038
AE-20260309-0129,2026-03-09 23:17:13,ETCH-DRY-03,CH-B,FLOW-W-001,W,60,CLEARED,R-DRY-07,
AE-20260310-0130,2026-03-10 03:58:13,PHOTO-SCN-01,,REC-W-001,W,99,CLEARED,R-SCN-21,LOT-20260310-161
AE-20260310-0131,2026-03-10 07:07:19,DIFF-FUR-02,Z2,TEMP-H-001,H,541,CLEARED,R-FUR-17,
AE-20260310-0132,2026-03-10 12:54:17,ETCH-WET-01,,CHEM-W-001,W,14,ACKNOWLEDGED,,LOT-20260310-009
AE-20260310-0133,2026-03-10 13:28:54,PHOTO-SCN-01,,REC-W-001,W,91,CLEARED,R-SCN-26,
AE-20260310-0134,2026-03-10 14:21:31,THIN-CVD-01,CH-A,RF-M-001,M,177,CLEARED,,LOT-20260310-067
AE-20260310-0135,2026-03-10 15:01:09,PHOTO-SCN-02,,COMM-W-001,W,53,OPEN,R-SCN-18,LOT-20260310-117
AE-20260310-0136,2026-03-10 16:29:50,CMP-POL-01,,CHEM-W-001,W,113,CLEARED,R-POL-01,LOT-20260310-051
AE-20260310-0137,2026-03-10 19:25:27,CLN-WET-01,,MECH-H-001,H,276,CLEARED,R-CLN-08,
AE-20260310-0138,2026-03-10 22:37:07,THIN-CVD-02,CH-B,COMM-W-002,W,116,CLEARED,R-CVD-01,
AE-20260310-0139,2026-03-10 22:41:37,DIFF-RTP-01,CH-A,COMM-W-001,W,46,CLEARED,,
AE-20260310-0140,2026-03-10 22:46:57,IMP-MCI-01,,COMM-W-002,W,72,CLEARED,,
AE-20260311-0141,2026-03-11 20:48:28,THIN-PVD-02,CH-A,REC-M-001,M,176,CLEARED,R-PVD-06,
AE-20260312-0142,2026-03-12 03:11:41,DIFF-FUR-02,Z4,TEMP-H-001,H,188,CLEARED,R-FUR-27,
AE-20260312-0143,2026-03-12 07:00:01,IMP-HCI-02,,VAC-H-001,H,308,CLEARED,R-HCI-10,
AE-20260312-0144,2026-03-12 07:12:15,CLN-WET-02,,MECH-H-001,H,417,CLEARED,R-CLN-13,LOT-20260312-088
AE-20260312-0145,2026-03-12 11:12:36,ETCH-DRY-01,CH-A,GAS-M-001,M,127,CLEARED,R-DRY-26,
AE-20260312-0146,2026-03-12 12:13:48,THIN-CVD-02,CH-A,GAS-C-001,C,1372,CLEARED,R-CVD-20,LOT-20260312-129
AE-20260312-0147,2026-03-12 12:41:52,IMP-HCI-01,,COMM-W-001,W,38,CLEARED,R-HCI-12,LOT-20260312-018
AE-20260312-0148,2026-03-12 13:25:45,CLN-WET-01,,COMM-H-001,H,192,ACKNOWLEDGED,R-CLN-21,LOT-20260312-120
AE-20260312-0149,2026-03-12 14:13:29,IMP-HCI-01,,COMM-W-001,W,109,CLEARED,R-HCI-27,LOT-20260312-186
AE-20260312-0150,2026-03-12 17:52:33,IMP-HCI-01,,COMM-W-002,W,12,CLEARED,R-HCI-23,LOT-20260312-061
AE-20260312-0151,2026-03-12 20:18:24,DIFF-FUR-01,Z3,REC-W-001,W,92,CLEARED,,LOT-20260312-094
AE-20260313-0152,2026-03-13 03:34:18,THIN-CVD-02,CH-A,COMM-W-002,W,113,CLEARED,,LOT-20260313-160
AE-20260313-0153,2026-03-13 06:13:20,IMP-MCI-01,,COMM-H-001,H,148,CLEARED,,LOT-20260313-082
AE-20260313-0154,2026-03-13 08:10:54,MTL-INS-01,,COMM-M-001,M,272,CLEARED,R-INS-06,
AE-20260313-0155,2026-03-13 09:39:16,PHOTO-CTR-01,,MECH-H-001,H,467,CLEARED,R-CTR-01,
AE-20260313-0156,2026-03-13 15:55:07,IMP-HCI-01,,COMM-W-001,W,80,CLEARED,R-HCI-17,
AE-20260313-0157,2026-03-13 23:54:46,THIN-CVD-02,CH-A,MECH-H-001,H,249,CLEARED,R-CVD-27,LOT-20260313-061
AE-20260314-0158,2026-03-14 03:00:35,THIN-CVD-01,CH-B,FLOW-W-001,W,97,CLEARED,R-CVD-01,LOT-20260314-144
AE-20260314-0159,2026-03-14 19:36:28,THIN-CVD-02,CH-A,TEMP-H-001,H,707,CLEARED,R-CVD-05,LOT-20260314-113
AE-20260314-0160,2026-03-14 19:39:38,DIFF-FUR-01,Z3,COMM-M-001,M,224,CLEARED,R-FUR-03,LOT-20260314-126
AE-20260314-0161,2026-03-14 22:18:25,ETCH-WET-01,,REC-W-001,W,103,CLEARED,R-WET-11,LOT-20260314-182
AE-20260315-0162,2026-03-15 01:56:36,MTL-INS-01,,MECH-H-001,H,44,OPEN,R-INS-11,LOT-20260315-097
AE-20260315-0163,2026-03-15 02:00:39,THIN-CVD-03,CH-A,COMM-W-002,W,106,CLEARED,R-CVD-30,LOT-20260315-009
AE-20260315-0164,2026-03-15 08:41:47,PHOTO-SCN-01,,COMM-W-001,W,78,CLEARED,R-SCN-08,LOT-20260315-156
AE-20260315-0165,2026-03-15 14:01:36,MTL-MES-01,,COMM-H-001,H,302,CLEARED,R-MES-29,
AE-20260315-0166,2026-03-15 17:49:23,DIFF-FUR-02,Z5,GAS-H-001,H,300,CLEARED,R-FUR-08,LOT-20260315-147
AE-20260315-0167,2026-03-15 21:38:33,THIN-CVD-03,CH-A,REC-W-001,W,117,CLEARED,,LOT-20260315-150
AE-20260315-0168,2026-03-15 23:18:13,MTL-MES-01,,COMM-W-001,W,30,ACKNOWLEDGED,R-MES-04,
AE-20260316-0169,2026-03-16 13:09:27,ETCH-WET-01,,CHEM-W-001,W,56,CLEARED,R-WET-03,
AE-20260316-0170,2026-03-16 21:19:15,PHOTO-CTR-02,,CHEM-W-001,W,85,CLEARED,R-CTR-12,LOT-20260316-115
AE-20260317-0171,2026-03-17 06:37:36,PHOTO-SCN-01,,COMM-H-001,H,36,CLEARED,R-SCN-14,
AE-20260317-0172,2026-03-17 09:30:38,CLN-WET-02,,CHEM-H-001,H,310,CLEARED,R-CLN-16,LOT-20260317-047
AE-20260318-0173,2026-03-18 00:44:45,THIN-CVD-02,CH-A,VAC-M-001,M,40,CLEARED,,
AE-20260318-0174,2026-03-18 05:32:03,PHOTO-CTR-01,,CHEM-W-001,W,103,CLEARED,R-CTR-04,
AE-20260318-0175,2026-03-18 09:00:33,THIN-CVD-01,CH-A,COMM-W-002,W,65,CLEARED,R-CVD-05,LOT-20260318-199
AE-20260318-0176,2026-03-18 10:12:40,THIN-PVD-01,CH-B,REC-W-001,W,35,CLEARED,,LOT-20260318-060
AE-20260318-0177,2026-03-18 10:18:22,MTL-MES-02,,COMM-W-001,W,57,CLEARED,R-MES-01,LOT-20260318-167
AE-20260319-0178,2026-03-19 03:41:02,CLN-WET-01,,REC-W-001,W,67,CLEARED,R-CLN-24,LOT-20260319-051
AE-20260319-0179,2026-03-19 09:38:57,THIN-CVD-02,CH-B,FLOW-M-001,M,270,CLEARED,,LOT-20260319-013
AE-20260319-0180,2026-03-19 11:00:40,THIN-CVD-01,CH-A,RF-M-001,M,158,CLEARED,R-CVD-22,
AE-20260319-0181,2026-03-19 18:00:25,ETCH-DRY-01,CH-B,TEMP-W-001,W,62,CLEARED,R-DRY-01,LOT-20260319-095
AE-20260320-0182,2026-03-20 03:59:53,ETCH-DRY-03,CH-A,VAC-W-001,W,25,CLEARED,R-DRY-02,
AE-20260320-0183,2026-03-20 06:02:51,CMP-POL-03,,REC-W-001,W,86,CLEARED,R-POL-08,LOT-20260320-130
AE-20260320-0184,2026-03-20 17:05:57,THIN-PVD-02,CH-A,COMM-W-001,W,59,CLEARED,R-PVD-02,LOT-20260320-154
AE-20260320-0185,2026-03-20 19:43:38,DIFF-FUR-01,Z4,GAS-M-001,M,244,ACKNOWLEDGED,,
AE-20260320-0186,2026-03-20 21:38:35,ETCH-WET-01,,MECH-H-001,H,481,CLEARED,,
AE-20260321-0187,2026-03-21 00:11:17,MTL-INS-02,,COMM-M-001,M,81,CLEARED,R-INS-06,LOT-20260321-066
AE-20260321-0188,2026-03-21 11:43:29,THIN-PVD-01,CH-A,RF-M-001,M,255,CLEARED,R-PVD-11,LOT-20260321-194
AE-20260321-0189,2026-03-21 11:54:31,IMP-HCI-02,,COMM-H-001,H,785,CLEARED,R-HCI-21,LOT-20260321-156
AE-20260321-0190,2026-03-21 16:51:02,DIFF-FUR-02,Z1,COMM-W-002,W,117,CLEARED,R-FUR-05,
AE-20260321-0191,2026-03-21 19:31:05,ETCH-DRY-03,CH-D,FLOW-W-001,W,16,CLEARED,R-DRY-08,
AE-20260321-0192,2026-03-21 20:10:12,THIN-CVD-02,CH-A,RF-W-001,W,6,CLEARED,R-CVD-18,LOT-20260321-012
AE-20260323-0193,2026-03-23 10:29:02,DIFF-FUR-01,Z2,FLOW-W-001,W,111,CLEARED,R-FUR-12,LOT-20260323-024
AE-20260323-0194,2026-03-23 14:56:28,ETCH-DRY-01,CH-B,VAC-H-001,H,354,CLEARED,R-DRY-06,
AE-20260323-0195,2026-03-23 20:56:37,THIN-CVD-02,CH-B,VAC-W-001,W,102,CLEARED,,
AE-20260324-0196,2026-03-24 01:31:42,PHOTO-CTR-01,,COMM-W-001,W,14,CLEARED,R-CTR-03,
AE-20260324-0197,2026-03-24 01:49:46,THIN-CVD-02,CH-B,VAC-W-001,W,113,CLEARED,R-CVD-06,
AE-20260324-0198,2026-03-24 03:04:19,DIFF-FUR-02,Z5,GAS-M-001,M,173,CLEARED,,LOT-20260324-020
AE-20260324-0199,2026-03-24 03:45:08,MTL-MES-02,,MECH-H-001,H,315,CLEARED,R-MES-04,
AE-20260324-0200,2026-03-24 08:43:37,CLN-WET-02,,CHEM-W-001,W,38,CLEARED,,
AE-20260324-0201,2026-03-24 10:07:55,CLN-WET-01,,CHEM-H-001,H,30,ACKNOWLEDGED,R-CLN-14,LOT-20260324-131
AE-20260325-0202,2026-03-25 00:01:14,CMP-POL-01,,COMM-H-001,H,596,CLEARED,,
AE-20260325-0203,2026-03-25 05:43:25,THIN-CVD-02,CH-B,FLOW-M-001,M,202,CLEARED,,
AE-20260325-0204,2026-03-25 09:16:26,IMP-HCI-02,,MECH-M-001,M,164,CLEARED,R-HCI-01,LOT-20260325-124
AE-20260325-0205,2026-03-25 15:42:24,ETCH-WET-01,,CHEM-W-001,W,50,CLEARED,R-WET-16,
AE-20260325-0206,2026-03-25 22:00:11,THIN-CVD-02,CH-B,MECH-W-001,W,113,CLEARED,,
AE-20260326-0207,2026-03-26 00:50:59,THIN-CVD-01,CH-B,PRES-W-001,W,76,CLEARED,R-CVD-29,LOT-20260326-110
AE-20260326-0208,2026-03-26 05:37:51,ETCH-DRY-02,CH-B,PRES-C-001,C,1448,CLEARED,,
AE-20260326-0209,2026-03-26 05:46:54,IMP-HCI-02,,MECH-H-001,H,579,ACKNOWLEDGED,R-HCI-22,
