alarm_code,name,category,severity,threshold_text,typical_causes,applicable_eq_types,related_sop_id,section_id,has_documented_action
DOSE-H-001,Dose 균일도 High,DOSE,H,wafer 내 dose 균일도 (1σ) > 1.5%,beam scan profile drift|Faraday 측정 오차,HCI|MCI,SOP-DOSE-001,AC-DOSE-H-001,Y
DOSE-W-001,Dose 측정 지연 Warning,DOSE,W,post-implant 측정 완료 시간 > baseline + 5초,measurement queue 적체,HCI|MCI,,AC-DOSE-W-001,N
CHEM-H-001,케미컬 농도 이상,CHEM,H,titrator 측정 농도가 spec ±2% 초과,mixing 불량|센서 calibration 노후,WET|POL|CLN,SOP-CHEM-001,AC-CHEM-H-001,Y
CHEM-W-001,케미컬 보충 필요 Warning,CHEM,W,탱크 잔량 < 20%,사용량 증가,WET|POL|CLN|CTR,SOP-CHEM-001,AC-CHEM-W-001,Y
COMM-H-001,EAP 통신 단절 High,COMM,H,EAP-호스트 link 60초 이상 단절,네트워크 스위치 이슈|EAP 프로세스 hang,CVD|PVD|DRY|WET|SCN|CTR|FUR|RTP|HCI|MCI|POL|CLN|MES|INS,SOP-COMM-001,AC-COMM-H-001,Y
COMM-M-001,SECS/GEM 응답 지연,COMM,M,S6F11 응답 시간 > 5초,host load 증가|buffer overflow,CVD|PVD|DRY|WET|SCN|CTR|FUR|RTP|HCI|MCI|POL|CLN|MES|INS,SOP-COMM-001,AC-COMM-M-001,Y
COMM-W-001,호스트 통신 재시도 Warning,COMM,W,T3 timeout 발생 (재시도로 복구됨),네트워크 미세 지연,CVD|PVD|DRY|WET|SCN|CTR|FUR|RTP|HCI|MCI|POL|CLN|MES|INS,SOP-COMM-001,AC-COMM-W-001,Y
COMM-W-002,센서 통신 일시 단절,COMM,W,특정 SVID 데이터 결손 < 3초,DAQ 모듈 jitter,CVD|PVD|DRY|FUR|RTP|HCI|MCI,,AC-COMM-W-002,N
REC-H-001,Recipe 다운로드 실패 High,REC,H,MES → 설비 recipe 다운로드 3회 연속 실패,recipe checksum 불일치|권한 만료,CVD|PVD|DRY|WET|SCN|CTR|FUR|RTP|HCI|MCI|POL|CLN,SOP-REC-001,AC-REC-H-001,Y
REC-M-001,Recipe 파라미터 검증 실패,REC,M,파라미터 spec 범위 초과 또는 필수 필드 누락,recipe 편집 오류,CVD|PVD|DRY|WET|SCN|CTR|FUR|RTP|HCI|MCI|POL|CLN,SOP-REC-001,AC-REC-M-001,Y
REC-W-001,Recipe 버전 불일치 Warning,REC,W,설비 실행 recipe 버전 ≠ MES 등록 latest version,버전 동기화 지연,CVD|PVD|DRY|WET|SCN|CTR|FUR|RTP|HCI|MCI|POL|CLN,SOP-REC-001,AC-REC-W-001,Y
MECH-H-001,로봇 핸들링 오류 High,MECH,H,EFEM 로봇 wafer mapping 또는 transfer 실패,wafer 위치 이상|vacuum chuck 흡착 불량,CVD|PVD|DRY|WET|SCN|CTR|HCI|MCI|POL|CLN|MES|INS,SOP-MECH-001,AC-MECH-H-001,Y
MECH-M-001,슬릿밸브 동작 이상,MECH,M,open/close 시간 > spec + 0.5초,공압 라인 압력 저하|센서 노후,CVD|PVD|DRY|HCI|MCI,SOP-MECH-002,AC-MECH-M-001,Y
MECH-W-001,진동 센서 경고,MECH,W,베어링 진동 RMS > baseline × 1.5,베어링 마모 초기,CVD|PVD|DRY|POL,,AC-MECH-W-001,N
