voc_id,created_at,user_id,title,category,priority,equipment_id,alarm_code,status,assignee_id,resolved_at
VOC-2026-H0063,2026-03-10 14:30:25,U0024,REC-H-001 원인 확인 요청 (CMP-POL-01),알람 원인 문의,NORMAL,CMP-POL-01,REC-H-001,RESOLVED,U0011,2026-03-11 10:30:25
VOC-2026-H0142,2026-03-11 02:05:10,U0022,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,LOW,,,CLOSED,U0004,2026-03-12 14:05:10
VOC-2026-H0112,2026-03-11 13:28:14,U0022,GAS-H-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,DIFF-FUR-02,GAS-H-001,RESOLVED,U0003,2026-03-14 04:28:14
VOC-2026-H0107,2026-03-11 20:12:42,U0023,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,LOW,,,IN_PROGRESS,U0007,
VOC-2026-H0018,2026-03-12 01:55:31,U0022,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,THIN-PVD-01,,RESOLVED,U0023,2026-03-13 12:55:31
VOC-2026-H0062,2026-03-12 03:13:14,U0001,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,ETCH-DRY-03,,IN_PROGRESS,U0002,
VOC-2026-H0044,2026-03-12 07:37:49,U0025,GAS-W-001 의미 문의,알람 코드 의미 문의,HIGH,,GAS-W-001,IN_PROGRESS,U0002,
VOC-2026-H0057,2026-03-12 12:22:16,U0014,Trend Chart 데이터 표시 안됨 (CMP-POL-03),Trend Chart 조회 오류,HIGH,CMP-POL-03,,RESOLVED,U0012,2026-03-12 18:22:16
VOC-2026-H0067,2026-03-14 09:26:46,U0021,설비 상태 표시 불일치 (),설비 상태 불일치,HIGH,,,RESOLVED,U0005,2026-03-17 09:26:46
VOC-2026-H0006,2026-03-15 04:24:51,U0014,GAS-C-001 원인 확인 요청 (THIN-PVD-01),알람 원인 문의,NORMAL,THIN-PVD-01,GAS-C-001,RESOLVED,U0006,2026-03-17 07:24:51
VOC-2026-H0140,2026-03-15 16:34:13,U0010,설비 상태 표시 불일치 (IMP-HCI-02),설비 상태 불일치,NORMAL,IMP-HCI-02,,RESOLVED,U0012,2026-03-18 06:34:13
VOC-2026-H0134,2026-03-15 21:50:40,U0024,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,LOW,THIN-PVD-01,,RESOLVED,U0012,2026-03-16 07:50:40
VOC-2026-H0117,2026-03-16 00:44:59,U0024,설비 상태 표시 불일치 (PHOTO-SCN-02),설비 상태 불일치,NORMAL,PHOTO-SCN-02,,RESOLVED,U0010,2026-03-17 10:44:59
VOC-2026-H0143,2026-03-16 21:24:21,U0001,PRES-M-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,PHOTO-CTR-02,PRES-M-001,RESOLVED,U0023,2026-03-17 15:24:21
VOC-2026-H0147,2026-03-17 07:44:32,U0013,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,IMP-HCI-01,,RESOLVED,U0007,2026-03-17 09:44:32
VOC-2026-H0021,2026-03-19 03:14:12,U0007,설비 상태 표시 불일치 (DIFF-FUR-01),설비 상태 불일치,HIGH,DIFF-FUR-01,,RESOLVED,U0002,2026-03-21 18:14:12
VOC-2026-H0046,2026-03-19 18:58:38,U0016,Trend Chart 데이터 표시 안됨 (PHOTO-CTR-02),Trend Chart 조회 오류,LOW,PHOTO-CTR-02,,RESOLVED,U0005,2026-03-21 22:58:38
VOC-2026-H0119,2026-03-21 03:36:09,U0021,REC-H-001 의미 문의,알람 코드 의미 문의,LOW,,REC-H-001,RESOLVED,U0006,2026-03-22 01:36:09
VOC-2026-H0085,2026-03-23 01:01:15,U0014,알람 원인 확인 요청 (PHOTO-SCN-03),알람 원인 문의,NORMAL,PHOTO-SCN-03,,RESOLVED,U0006,2026-03-24 21:01:15
VOC-2026-H0064,2026-03-23 21:21:45,U0020,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,CMP-POL-01,,RESOLVED,U0011,2026-03-25 17:21:45
VOC-2026-H0122,2026-03-24 11:40:44,U0019,PRES-C-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,MTL-INS-02,PRES-C-001,RESOLVED,U0010,2026-03-25 13:40:44
VOC-2026-H0072,2026-03-25 04:19:51,U0012,권한 문제 — 접근 불가,권한 문제,HIGH,,,RESOLVED,U0004,2026-03-27 16:19:51
VOC-2026-H0131,2026-03-25 11:16:55,U0020,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,DIFF-RTP-01,,RESOLVED,U0012,2026-03-28 05:16:55
VOC-2026-H0001,2026-03-25 18:33:23,U0024,임계치 설정 변경 문의,임계치 설정 문의,HIGH,CLN-WET-02,,CLOSED,U0001,2026-03-26 14:33:23
VOC-2026-H0017,2026-03-26 02:54:43,U0008,임계치 설정 변경 문의,임계치 설정 문의,URGENT,THIN-CVD-02,,RESOLVED,U0023,2026-03-28 09:54:43
VOC-2026-H0104,2026-03-26 07:00:52,U0002,데이터 누락 문의,데이터 누락 문의,LOW,,,RESOLVED,U0008,2026-03-27 21:00:52
VOC-2026-H0097,2026-03-26 12:20:47,U0020,COMM-M-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,IMP-HCI-01,COMM-M-001,IN_PROGRESS,U0005,
VOC-2026-H0055,2026-03-26 15:53:37,U0003,REC-M-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,THIN-CVD-02,REC-M-001,OPEN,,
VOC-2026-H0047,2026-03-26 17:49:01,U0010,TEMP-M-001 의미 문의,알람 코드 의미 문의,HIGH,THIN-CVD-01,TEMP-M-001,RESOLVED,U0003,2026-03-29 17:49:01
VOC-2026-H0059,2026-03-26 18:19:39,U0020,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,MTL-MES-02,,IN_PROGRESS,U0010,
VOC-2026-H0144,2026-03-27 00:35:20,U0002,권한 문제 — 접근 불가,권한 문제,HIGH,PHOTO-CTR-02,,CLOSED,U0010,2026-03-28 04:35:20
VOC-2026-H0128,2026-03-27 04:38:46,U0005,알람 조치 방법 안내 요청,조치 방법 문의,NORMAL,ETCH-DRY-02,,RESOLVED,U0002,2026-03-27 12:38:46
VOC-2026-H0148,2026-03-27 10:04:37,U0002,Trend Chart 데이터 표시 안됨 (CMP-POL-01),Trend Chart 조회 오류,URGENT,CMP-POL-01,,OPEN,,
VOC-2026-H0125,2026-03-27 20:30:40,U0011,알람 원인 확인 요청 (THIN-PVD-02),알람 원인 문의,NORMAL,THIN-PVD-02,,RESOLVED,U0005,2026-03-28 13:30:40
VOC-2026-H0005,2026-03-28 01:04:13,U0014,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,NORMAL,THIN-CVD-02,,RESOLVED,U0011,2026-03-30 01:04:13
VOC-2026-H0090,2026-03-28 05:41:44,U0014,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,NORMAL,PHOTO-CTR-01,,RESOLVED,U0010,2026-03-28 07:41:44
VOC-2026-H0069,2026-03-28 23:01:27,U0006,권한 문제 — 접근 불가,권한 문제,URGENT,ETCH-DRY-01,,IN_PROGRESS,U0009,
VOC-2026-H0113,2026-03-29 05:52:09,U0012,설비 상태 표시 불일치 (DIFF-FUR-01),설비 상태 불일치,NORMAL,DIFF-FUR-01,,RESOLVED,U0009,2026-03-30 11:52:09
VOC-2026-H0124,2026-03-29 11:19:05,U0021,설비 상태 표시 불일치 (ETCH-DRY-02),설비 상태 불일치,NORMAL,ETCH-DRY-02,,RESOLVED,U0004,2026-03-31 21:19:05
VOC-2026-H0040,2026-03-30 08:57:57,U0019,임계치 설정 변경 문의,임계치 설정 문의,HIGH,MTL-MES-01,,RESOLVED,U0011,2026-04-02 05:57:57
VOC-2026-H0089,2026-03-30 18:49:05,U0008,설비 상태 표시 불일치 (DIFF-FUR-03),설비 상태 불일치,HIGH,DIFF-FUR-03,,RESOLVED,U0010,2026-04-01 01:49:05
VOC-2026-H0002,2026-03-30 21:56:28,U0010,권한 문제 — 접근 불가,권한 문제,NORMAL,MTL-MES-02,,RESOLVED,U0006,2026-04-02 18:56:28
VOC-2026-H0141,2026-03-31 06:52:53,U0005,알람 조치 방법 안내 요청,조치 방법 문의,LOW,PHOTO-SCN-02,,RESOLVED,U0008,2026-03-31 21:52:53
VOC-2026-H0029,2026-03-31 11:54:13,U0008,권한 문제 — 접근 불가,권한 문제,LOW,PHOTO-SCN-03,,RESOLVED,U0023,2026-04-03 10:54:13
VOC-2026-H0038,2026-04-01 05:35:09,U0003,설비 상태 표시 불일치 (MTL-MES-01),설비 상태 불일치,URGENT,MTL-MES-01,,RESOLVED,U0001,2026-04-01 10:35:09
VOC-2026-H0118,2026-04-01 18:59:05,U0016,TEMP-H-002 조치 방법 안내 요청,조치 방법 문의,HIGH,IMP-HCI-01,TEMP-H-002,RESOLVED,U0024,2026-04-02 12:59:05
VOC-2026-H0054,2026-04-02 01:24:20,U0008,임계치 설정 변경 문의,임계치 설정 문의,HIGH,ETCH-WET-01,,RESOLVED,U0007,2026-04-04 17:24:20
VOC-2026-H0007,2026-04-02 14:21:26,U0010,데이터 누락 문의,데이터 누락 문의,NORMAL,,,RESOLVED,U0010,2026-04-04 02:21:26
VOC-2026-H0116,2026-04-02 18:40:41,U0009,FDC 시스템 접속 안됨,시스템 접속 오류,URGENT,PHOTO-CTR-02,,IN_PROGRESS,U0012,
VOC-2026-H0020,2026-04-03 16:58:17,U0005,FLOW-W-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,DIFF-FUR-01,FLOW-W-001,IN_PROGRESS,U0002,
VOC-2026-H0086,2026-04-04 09:02:52,U0015,FDC 시스템 접속 안됨,시스템 접속 오류,URGENT,ETCH-DRY-03,,OPEN,,
VOC-2026-H0132,2026-04-04 12:16:26,U0025, 의미 문의,알람 코드 의미 문의,HIGH,CMP-POL-02,,RESOLVED,U0004,2026-04-05 13:16:26
VOC-2026-H0139,2026-04-04 14:21:16,U0008,Trend Chart 데이터 표시 안됨 (CLN-WET-02),Trend Chart 조회 오류,NORMAL,CLN-WET-02,,RESOLVED,U0006,2026-04-05 08:21:16
VOC-2026-H0032,2026-04-05 07:29:31,U0008,MECH-W-001 원인 확인 요청 (MTL-MES-01),알람 원인 문의,LOW,MTL-MES-01,MECH-W-001,OPEN,,
VOC-2026-H0088,2026-04-05 18:39:48,U0003,설비 상태 표시 불일치 (MTL-INS-02),설비 상태 불일치,LOW,MTL-INS-02,,IN_PROGRESS,U0024,
VOC-2026-H0058,2026-04-05 21:32:53,U0008,권한 문제 — 접근 불가,권한 문제,NORMAL,ETCH-DRY-03,,IN_PROGRESS,U0007,
VOC-2026-H0099,2026-04-06 21:51:28,U0008,권한 문제 — 접근 불가,권한 문제,NORMAL,,,RESOLVED,U0010,2026-04-09 01:51:28
VOC-2026-H0004,2026-04-07 21:49:26,U0025,설비 상태 표시 불일치 (),설비 상태 불일치,NORMAL,,,CLOSED,U0003,2026-04-10 11:49:26
VOC-2026-H0133,2026-04-09 11:29:19,U0024,센서 데이터 누락 확인 (PHOTO-SCN-03),데이터 누락 문의,NORMAL,PHOTO-SCN-03,,IN_PROGRESS,U0006,
VOC-2026-H0127,2026-04-10 10:04:40,U0023,FDC 시스템 접속 안됨,시스템 접속 오류,NORMAL,MTL-INS-01,,RESOLVED,U0008,2026-04-13 07:04:40
VOC-2026-H0013,2026-04-10 23:23:20,U0021,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,NORMAL,CMP-POL-01,,CLOSED,U0008,2026-04-12 05:23:20
VOC-2026-H0011,2026-04-11 15:36:17,U0018, 의미 문의,알람 코드 의미 문의,NORMAL,IMP-HCI-01,,RESOLVED,U0008,2026-04-12 16:36:17
VOC-2026-H0092,2026-04-12 12:02:57,U0007,센서 데이터 누락 확인 (PHOTO-SCN-01),데이터 누락 문의,LOW,PHOTO-SCN-01,,RESOLVED,U0024,2026-04-14 17:02:57
VOC-2026-H0080,2026-04-12 16:31:03,U0025,FLOW-M-001 원인 확인 요청 (MTL-INS-02),알람 원인 문의,NORMAL,MTL-INS-02,FLOW-M-001,OPEN,,
VOC-2026-H0049,2026-04-13 00:50:50,U0024,권한 문제 — 접근 불가,권한 문제,NORMAL,ETCH-DRY-01,,IN_PROGRESS,U0003,
VOC-2026-H0033,2026-04-15 02:57:07,U0007,센서 데이터 누락 확인 (MTL-INS-02),데이터 누락 문의,LOW,MTL-INS-02,,IN_PROGRESS,U0002,
VOC-2026-H0023,2026-04-16 04:26:04,U0019,임계치 설정 변경 문의,임계치 설정 문의,HIGH,,,RESOLVED,U0024,2026-04-18 14:26:04
VOC-2026-H0031,2026-04-16 18:18:24,U0022,권한 문제 — 접근 불가,권한 문제,LOW,ETCH-WET-01,,RESOLVED,U0007,2026-04-16 20:18:24
VOC-2026-H0100,2026-04-16 18:22:19,U0007,권한 문제 — 접근 불가,권한 문제,HIGH,THIN-PVD-02,,RESOLVED,U0024,2026-04-18 16:22:19
VOC-2026-H0066,2026-04-18 04:28:44,U0007,센서 데이터 누락 확인 (MTL-MES-02),데이터 누락 문의,LOW,MTL-MES-02,,IN_PROGRESS,U0009,
VOC-2026-H0036,2026-04-19 05:13:47,U0020,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,ETCH-DRY-03,,RESOLVED,U0024,2026-04-19 20:13:47
VOC-2026-H0051,2026-04-19 05:35:29,U0022,센서 데이터 누락 확인 (ETCH-DRY-01),데이터 누락 문의,LOW,ETCH-DRY-01,,IN_PROGRESS,U0011,
VOC-2026-H0026,2026-04-19 07:11:53,U0024,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,URGENT,,,RESOLVED,U0007,2026-04-21 16:11:53
VOC-2026-H0096,2026-04-19 17:15:58,U0022,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,THIN-PVD-01,,RESOLVED,U0011,2026-04-21 11:15:58
VOC-2026-H0078,2026-04-19 19:08:01,U0010,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,URGENT,PHOTO-SCN-03,,RESOLVED,U0012,2026-04-22 14:08:01
VOC-2026-H0028,2026-04-20 03:59:06,U0002,Trend Chart 조회 불가,Trend Chart 조회 오류,HIGH,,,RESOLVED,U0010,2026-04-21 05:59:06
VOC-2026-H0079,2026-04-20 06:44:39,U0013,Trend Chart 데이터 표시 안됨 (PHOTO-CTR-01),Trend Chart 조회 오류,HIGH,PHOTO-CTR-01,,IN_PROGRESS,U0007,
VOC-2026-H0010,2026-04-20 12:44:26,U0025,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,,,RESOLVED,U0011,2026-04-20 17:44:26
VOC-2026-H0052,2026-04-21 04:49:56,U0005,Trend Chart 데이터 표시 안됨 (THIN-CVD-01),Trend Chart 조회 오류,LOW,THIN-CVD-01,,OPEN,,
VOC-2026-H0003,2026-04-21 07:53:56,U0004,임계치 설정 변경 문의,임계치 설정 문의,LOW,,,CLOSED,U0009,2026-04-23 05:53:56
VOC-2026-H0106,2026-04-21 12:20:58,U0019,REC-W-001 의미 문의,알람 코드 의미 문의,NORMAL,IMP-HCI-02,REC-W-001,RESOLVED,U0009,2026-04-22 06:20:58
VOC-2026-H0077,2026-04-21 15:06:15,U0005,권한 문제 — 접근 불가,권한 문제,LOW,MTL-INS-01,,IN_PROGRESS,U0007,
VOC-2026-H0045,2026-04-21 18:02:24,U0003,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,NORMAL,ETCH-DRY-01,,OPEN,,
VOC-2026-H0105,2026-04-22 12:36:56,U0018,센서 데이터 누락 확인 (MTL-INS-01),데이터 누락 문의,NORMAL,MTL-INS-01,,RESOLVED,U0003,2026-04-25 00:36:56
VOC-2026-H0030,2026-04-23 02:31:14,U0024,설비 상태 표시 불일치 (MTL-INS-01),설비 상태 불일치,NORMAL,MTL-INS-01,,RESOLVED,U0010,2026-04-24 07:31:14
VOC-2026-H0138,2026-04-24 02:04:53,U0019,데이터 누락 문의,데이터 누락 문의,NORMAL,,,IN_PROGRESS,U0011,
VOC-2026-H0019,2026-04-24 08:02:17,U0002,설비 상태 표시 불일치 (DIFF-FUR-02),설비 상태 불일치,LOW,DIFF-FUR-02,,RESOLVED,U0024,2026-04-26 14:02:17
VOC-2026-H0048,2026-04-25 01:47:24,U0006,Trend Chart 조회 불가,Trend Chart 조회 오류,NORMAL,,,RESOLVED,U0012,2026-04-27 20:47:24
VOC-2026-H0101,2026-04-26 21:45:59,U0007,센서 데이터 누락 확인 (CMP-POL-01),데이터 누락 문의,NORMAL,CMP-POL-01,,IN_PROGRESS,U0003,
VOC-2026-H0095,2026-04-26 22:14:15,U0009,설비 상태 표시 불일치 (ETCH-DRY-02),설비 상태 불일치,NORMAL,ETCH-DRY-02,,RESOLVED,U0004,2026-04-27 09:14:15
VOC-2026-H0027,2026-04-27 13:24:27,U0017,센서 데이터 누락 확인 (CLN-WET-01),데이터 누락 문의,NORMAL,CLN-WET-01,,IN_PROGRESS,U0023,
VOC-2026-H0109,2026-04-29 10:19:34,U0021,임계치 설정 변경 문의,임계치 설정 문의,LOW,,,RESOLVED,U0006,2026-05-02 00:19:34
VOC-2026-H0041,2026-04-29 18:23:08,U0018,권한 문제 — 접근 불가,권한 문제,NORMAL,ETCH-DRY-02,,RESOLVED,U0008,2026-04-30 04:23:08
VOC-2026-H0068,2026-04-30 06:24:05,U0001,PRES-M-001 조치 방법 안내 요청,조치 방법 문의,LOW,CMP-POL-01,PRES-M-001,RESOLVED,U0024,2026-05-01 15:24:05
VOC-2026-H0136,2026-04-30 20:27:35,U0006,TEMP-H-001 의미 문의,알람 코드 의미 문의,HIGH,IMP-HCI-02,TEMP-H-001,RESOLVED,U0024,2026-05-03 12:27:35
VOC-2026-H0087,2026-05-01 08:20:53,U0018,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,NORMAL,DIFF-FUR-03,,RESOLVED,U0007,2026-05-02 09:20:53
VOC-2026-H0083,2026-05-03 03:50:07,U0008,권한 문제 — 접근 불가,권한 문제,NORMAL,MTL-MES-02,,RESOLVED,U0023,2026-05-05 09:50:07
VOC-2026-H0115,2026-05-03 21:42:58,U0001,설비 상태 표시 불일치 (DIFF-FUR-01),설비 상태 불일치,HIGH,DIFF-FUR-01,,RESOLVED,U0005,2026-05-04 00:42:58
VOC-2026-H0074,2026-05-04 06:53:05,U0014,Trend Chart 데이터 표시 안됨 (CLN-WET-02),Trend Chart 조회 오류,LOW,CLN-WET-02,,IN_PROGRESS,U0005,
VOC-2026-H0108,2026-05-04 09:31:02,U0018,GAS-M-001 의미 문의,알람 코드 의미 문의,HIGH,CMP-POL-03,GAS-M-001,IN_PROGRESS,U0009,
VOC-2026-H0111,2026-05-04 23:22:44,U0024,임계치 설정 변경 문의,임계치 설정 문의,NORMAL,ETCH-WET-01,,RESOLVED,U0007,2026-05-05 08:22:44
VOC-2026-H0022,2026-05-05 07:21:52,U0019,설비 상태 표시 불일치 (),설비 상태 불일치,LOW,,,RESOLVED,U0012,2026-05-05 17:21:52
VOC-2026-H0014,2026-05-05 13:23:08,U0024,임계치 설정 변경 문의,임계치 설정 문의,LOW,CMP-POL-01,,CLOSED,U0024,2026-05-07 21:23:08
VOC-2026-H0043,2026-05-06 00:19:56,U0020,센서 데이터 누락 확인 (THIN-CVD-02),데이터 누락 문의,NORMAL,THIN-CVD-02,,RESOLVED,U0011,2026-05-09 00:19:56
VOC-2026-H0039,2026-05-06 06:06:24,U0009,이전 VOC 처리 상태 확인,VOC 처리 상태 문의,NORMAL,PHOTO-SCN-03,,RESOLVED,U0009,2026-05-06 18:06:24
VOC-2026-H0094,2026-05-06 19:09:25,U0021,권한 문제 — 접근 불가,권한 문제,NORMAL,DIFF-FUR-01,,RESOLVED,U0007,2026-05-08 19:09:25
VOC-2026-H0110,2026-05-08 01:03:54,U0008,권한 문제 — 접근 불가,권한 문제,LOW,THIN-CVD-02,,RESOLVED,U0001,2026-05-09 21:03:54
VOC-2026-H0121,2026-05-08 07:19:22,U0010,HV-H-001 조치 방법 안내 요청,조치 방법 문의,NORMAL,ETCH-WET-01,HV-H-001,RESOLVED,U0004,2026-05-10 19:19:22
VOC-2026-H0103,2026-05-08 14:45:53,U0004,FDC 시스템 접속 안됨,시스템 접속 오류,URGENT,CMP-POL-03,,IN_PROGRESS,U0004,
